                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
compute-0-286   free                79    79      0      1tb/1tb  21/100     0/0     0/0 9088973,9088974,9088975,1922345,9088977,9088978,1922333,831826,1922342,831624,831612,1922261,9088992,9088993,1922262,9088995,9088996,831613,831614,831802,1922264,1922265,1922266,831691,831716,831745,831628,831629,1922267,1922268,1922330,1922321,831634,831715,831740,1922272,831827,831640,1922273,1922275,831735,1922276,831815,831725,1922278,831726,1922279,831799,1922339,1922280,1922282,1922331,1922323,831751,1922288,1922289,831818,831724,1922344,831739,1922293,1922294,1922296,1922334,1922329,1922300,1922301,1922303,831704,1922304,1922306,1922307,1922308,1922310,831723,1922335,1922316,831688,1922320
compute-0-294   free                 1     1      0    63gb/63gb   23/24     0/0     0/0 4088040
compute-0-295   free                 1     1      0    63gb/63gb   23/24     0/0     0/0 4101895
compute-0-296   free                 0     0      0    63gb/63gb   24/24     0/0     0/0 --
compute-0-297   free                 0     0      0    63gb/63gb   24/24     0/0     0/0 --
compute-0-298   free                 0     0      0  126gb/126gb   24/24     0/0     0/0 --
compute-0-299   free                 0     0      0  126gb/126gb   24/24     0/0     0/0 --
compute-0-227   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-301   free                 5     5      0  188gb/188gb   31/36     0/0     0/0 3154051,3871559,3871640,3871671,3871740
compute-0-305   free                22    22      0  126gb/126gb    6/28     0/0     0/0 7667968,7687085,2075980,6983724,7125614,7136024,7136026,7136029,7136031,7145718,7150530,7150546,7180657,7180678,7180759,7180760,7180662,7180767,7180769,3709784,7180793,4100641
compute-0-302   free                 8     8      0  188gb/188gb   28/36     0/0     0/0 3871536,3871554,3871613,3871647,3871664,3871685,3871701,3871722
compute-0-304   free                 5     5      0  126gb/126gb   23/28     0/0     0/0 7150560,7152203,7153226,7161451,4101997
compute-0-300   free                31    31      0  145gb/188gb    5/36     0/0     3/4 4083303,9262889,9919928,9922929,9922931,9922936,7938402,9248696,4083311,3783580,3643664,3783572,9240371,3783582,3783547,3783548,3783550,3783552,3783554,3783556,3783558,3783560,3783562,3783564,3783565,3783566,3783567,3783568,3783569,3783570,3783571
compute-0-303   free                 0     0      0      1tb/1tb   40/40     0/0     0/0 --
compute-0-308   free                29    29      0  188gb/188gb    7/36     0/0     0/0 7067391,7099937,7125546,7128814,7130397,7130553,7144126,7145701,7150567,7157436,7158864,7180634,7180636,7180637,7180638,7180639,7180640,7180641,7180642,7180643,7180644,7180646,7180669,7180670,7180660,7180671,4079069,7180676,7180925
compute-0-309   free                 1     1      0  188gb/188gb   35/36     0/0     0/0 3399215
compute-0-311   free                 9     9      0  756gb/756gb    7/28     0/0     0/0 2559469,3075756,3077942,3077945,3077946,3397804,3397805,3397806,3397842
compute-0-310   free                 3     3      0  126gb/126gb   13/16     0/0     0/0 3076140,3076141,3077944
