                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
compute-0-169   job-busy            24    24      0  142gb/189gb    0/24     0/0     0/0 6941490,4076123,6941752,6941783,4075923,6942062,6942144,4075931,4075939,4075950,4075961,4075972,4075983,4075994,4076005,4076016,4076127,4076039,4076047,4076054,4076062,4076069,4076076,4076082
compute-0-189   down                 0     0      0  252gb/252gb   24/24     0/0     0/0 --
compute-0-119   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 4093790
compute-0-120   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 4093791
compute-0-214   free                 0     0      0  248gb/248gb   28/28     0/0     0/0 --
compute-0-177   free                 0     0      0    63gb/63gb   24/24     0/0     0/0 --
compute-0-178   free                 0     0      0    63gb/63gb   24/24     0/0     0/0 --
compute-0-215   free                 0     0      0  251gb/251gb   28/28     0/0     0/0 --
compute-0-176   free                 0     0      0    63gb/63gb   24/24     0/0     0/0 --
compute-0-175   free                 0     0      0    63gb/63gb   24/24     0/0     0/0 --
compute-0-115   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 835762
compute-0-185   state-unknown        0     0      0  252gb/252gb   24/24     0/0     0/0 --
compute-0-182   down                 0     0      0  252gb/252gb   24/24     0/0     0/0 --
compute-0-121   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3078773
compute-0-125   state-unknown        0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-103   job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 79051,2435230
compute-0-196   free                 1     1      0    62gb/62gb   27/28     0/0     0/0 3892551
compute-0-0     free                12    12      0     1gb/23gb   12/24     0/0     0/0 3014826,3014813,3014816,3014832,4070397,3014840,4070399,3783581,3014864,3014861,3783546,4083284
compute-0-198   free                 1     1      0    62gb/62gb   27/28     0/0     0/0 3892552
compute-0-199   free                 1     1      0    62gb/62gb   27/28     0/0     0/0 3892785
compute-0-200   free                 0     0      0    62gb/62gb   28/28     0/0     0/0 --
compute-0-20    free                 0     0      0      8gb/8gb     8/8     0/0     0/0 --
compute-0-201   free                 0     0      0    62gb/62gb   28/28     0/0     0/0 --
compute-0-207   free                 0     0      0    62gb/62gb   28/28     0/0     0/0 --
compute-0-111   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 4093792
compute-0-202   free                 1     1      0    62gb/62gb   27/28     0/0     0/0 3442406
compute-0-14    free                 0     0      0      8gb/8gb     8/8     0/0     0/0 --
compute-0-31    free                 0     0      0    71mb/71mb   12/12     0/0     0/0 --
compute-0-203   free                 2     2      0    62gb/62gb   26/28     0/0     0/0 3442411,3442412
compute-0-113   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 3971661
compute-0-15    free                 0     0      0    31gb/31gb     8/8     0/0     0/0 --
compute-0-206   free                 2     2      0    62gb/62gb   26/28     0/0     0/0 3442407,3442415
compute-0-101   free                 1     1      0    39gb/63gb    8/16     0/0     0/0 1460742
compute-0-1     free                11    11      0     3gb/23gb    1/12     0/0     0/0 4070398,3014830,3014846,3014869,3014838,3014835,4070378,3783543,208589,4070393,3783573
compute-0-204   free                 2     2      0    62gb/62gb   26/28     0/0     0/0 3442408,3442414
compute-0-102   job-busy             1     1      0    63gb/63gb    0/16     0/0     0/0 4096586
compute-0-205   free                 1     1      0    62gb/62gb   27/28     0/0     0/0 3442409
compute-0-183   down                 0     0      0  252gb/252gb   24/24     0/0     0/0 --
compute-0-184   down                 0     0      0  252gb/252gb   24/24     0/0     0/0 --
compute-0-162   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-187   down                 0     0      0  252gb/252gb   24/24     0/0     0/0 --
compute-0-83    job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 1974477,1974478
compute-0-140   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-84    free                 7     7      0   172mb/63gb    2/16     0/0     0/0 79054,7035250,4086229,864949,1161365,4086221,9094095
compute-0-85    free                 8     8      0    52mb/63gb    1/16     0/0     0/0 79056,5921982,3102535[14576],4101025,1158185,675047,4101061,4101696
compute-0-87    job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 9389902,9390000
compute-0-34    job-busy             1     1      0    11gb/71gb    0/12     0/0     0/0 319923
compute-0-6     free                 8     8      0    21gb/35gb    4/12     0/0     0/0 3014848,4101896,3014862,4083268,4070385,3783537,3014865,3783540
compute-0-179   free                18    18      0   96gb/126gb    6/24     0/0     0/0 4070402,4070412,3752546,4083315,3014855,3783584,3783578,3014851,4070392,4083298,4083300,3014852,3783553,3783555,3783557,3783559,3783561,3783563
compute-0-91    job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 1184937,1456340
compute-0-174   job-busy            24    24      0  142gb/189gb    0/24     0/0     0/0 4075946,6941479,6941504,4075957,4075968,4075979,6941806,6941921,4075990,4076001,6942135,6942147,6942192,4076012,4076022,4076032,7167057,4076059,4076066,4076073,4076079,4076084,4076088,4076091
compute-0-89    job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 1455114,1460743
compute-0-163   state-unknown        0     0      0  189gb/189gb   24/24     0/0     0/0 --
compute-0-180   free                15    15      0  106gb/126gb    9/24     0/0     0/0 4070384,4070406,3014856,4070386,4083271,3014867,4083289,4083291,3783538,4083293,4083297,3783542,4083304,4083307,3783545
compute-0-170   job-busy            24    24      0  142gb/189gb    0/24     0/0     0/0 4076122,6941627,4076114,6941939,4076115,4076107,4076109,4076110,4076111,4076108,4076101,4076128,4076096,4079080,4075917,4076133,4075933,4075941,4076129,4075963,4075974,4079084,4075996,4076007
compute-0-72    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-134   state-unknown        0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-88    job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 1460745,1455135
compute-0-171   job-busy            24    24      0  142gb/189gb    0/24     0/0     0/0 4076103,4076104,6941510,4076119,6941695,4076126,4076097,6942193,4076105,4075920,4075928,4075936,4075944,4075955,4075966,4075977,4075988,4075999,4076010,4076020,4076030,4076037,4076045,4076052
compute-0-73    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-74    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-69    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-68    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
power7          state-unknown        0     0      0      0kb/0kb     1/1     0/0     0/0 --
compute-0-67    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-92    job-busy            11    11      0     4gb/63gb    0/16     0/0     0/0 8900549,4086228,8900549,4086222,7025063,3965070,8900549,4064912,4086226,4039752,4086223
compute-0-118   job-busy             1     1      0  126gb/126gb    0/16     0/0     0/0 4093793
compute-0-128   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-70    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-71    free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-94    free                 1     1      0    39gb/63gb    8/16     0/0     0/0 1460744
compute-0-81    free                 7     7      0  437mb/126gb    2/16     0/0     0/0 1974479,3990352,3102535[14575],4086224,4086225,3102535[14577],4101075
compute-0-95    free                 1     1      0    39gb/63gb    8/16     0/0     0/0 79053
compute-0-90    job-busy             9     9      0     2gb/63gb    0/16     0/0     0/0 3102535[14574],3965068,3965067,3884944,3965069,4064919,4086227,4101053,79052
compute-0-172   job-busy            24    24      0  142gb/189gb    0/24     0/0     0/0 4076112,6941472,6941497,4075919,4076106,4075927,6941782,6941953,4075935,4076132,4075954,4075965,4075976,4075987,4075998,4076009,4076019,4076029,4076036,4076044,4076051,4076057,4076064,4076071
compute-0-193   job-busy             1     1      0  126gb/126gb    0/20     0/0     0/0 3754207
compute-0-194   job-busy             1     1      0  126gb/126gb    0/20     0/0     0/0 3754207
compute-0-80    job-busy             2     2      0  169gb/252gb    0/16     0/0     0/0 79057,8868097
compute-0-150   job-busy             1     1      0  116gb/126gb    0/16     0/0     0/0 4071333
compute-0-223   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-224   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-225   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-86    job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 79055,1455586
compute-0-28    job-busy             1     1      0    49gb/59gb    0/12     0/0     0/0 2145478
compute-0-75    free                 0     0      0    94gb/94gb   12/12     0/0     0/0 --
compute-0-151   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 3128921
compute-0-152   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 6765154
compute-0-142   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 3413062
compute-0-30    job-busy             1     1      0    11gb/71gb    0/12     0/0     0/0 8870248
compute-0-141   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 3128923
compute-0-230   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-37    job-busy             1     1      0    11gb/71gb    0/12     0/0     0/0 3413257
compute-0-234   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-38    free                 0     0      0    71gb/71gb   12/12     0/0     0/0 --
compute-0-132   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 3129020
compute-0-39    job-busy             1     1      0    11gb/71gb    0/12     0/0     0/0 2620882
compute-0-133   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-143   state-unknown        0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-135   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-157   free                11    11      0  231gb/252gb    5/16     0/0     0/0 4070390,4070411,4070403,4070391,4070382,3236847,3783575,4070405,3783549,4070400,3783551
compute-0-154   state-unknown        0     0      0  252gb/252gb   16/16     0/0     0/0 --
compute-0-144   state-unknown        0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-145   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 6762199
compute-0-99    job-busy             1     1      0    63gb/63gb    0/16     0/0     0/0 4094315
compute-0-155   free                 0     0      0  252gb/252gb   16/16     0/0     0/0 --
compute-0-76    free                 1     1      0    34gb/94gb   12/24     0/0     0/0 7167239
compute-0-217   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-136   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 9214973
compute-0-153   state-unknown        0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-100   free                 2     2      0    18gb/63gb    6/16     0/0     0/0 979651,1974475
compute-0-231   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-236   free                 0     0      0  252gb/252gb   16/16     0/0     0/0 --
compute-0-226   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-229   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-146   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 3130062
compute-0-147   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-222   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-27    free                 0     0      0    71gb/71gb   12/12     0/0     0/0 --
compute-0-192   free                 0     0      0  126gb/126gb   20/20     0/0     0/0 --
compute-0-78    job-busy             1     1      0  192gb/252gb    0/12     0/0     0/0 7167237
compute-0-237   free                 9     9      0  174gb/189gb    3/12     0/0     0/0 3014859,3236737,4070396,3014872,3014888,3236388,3014845,4070409,3014857
compute-0-22    free                 5     5      0    322mb/8gb     3/8     0/0     0/0 4100997,4101035,4101092,4100982,4101090
compute-0-148   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-149   free                 1     1      0   66gb/126gb    4/16     0/0     0/0 8870247
compute-0-4     free                 9     9      0    17gb/35gb    3/12     0/0     0/0 3014849,3014854,3014866,3014853,4070410,3783579,3014837,3783541,3783544
compute-0-35    job-busy             1     1      0    11gb/71gb    0/12     0/0     0/0 320058
compute-0-9     job-busy             8     8      0     1gb/16gb     0/8     0/0     0/0 3014833,3014624,4070323,4083265,3014627,3014822,3985819,3014873
compute-0-173   job-busy            24    24      0  142gb/189gb    0/24     0/0     0/0 4075948,6941530,4075959,4075970,6941693,6941698,6941734,6941928,6941946,4075981,6942050,6942191,4075992,4076003,4076014,4076024,4076060,4076067,4076074,4076080,4076085,4076130,4076092,4076093
